event_id,event_slug,event_title,event_endDate
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14
84758,aapl-above-on-november-21-2025,Will Apple (AAPL) finish week of November 17 above___?,2025-11-21
87161,aapl-above-on-november-28-2025,Will Apple (AAPL) finish week of November 24 above___?,2025-11-28
92858,aapl-above-on-december-5-2025,Will Apple (AAPL) finish week of December 1 above___?,2025-12-05
98294,aapl-above-on-december-12-2025,Will Apple (AAPL) finish week of December 8 above___?,2025-12-12
103673,aapl-above-on-december-19-2025,Will Apple (AAPL) finish week of December 15 above___?,2025-12-19
112365,aapl-above-on-december-26-2025,Will Apple (AAPL) finish week of December 22 above___?,2025-12-26
125796,aapl-above-on-january-2-2026,Will Apple (AAPL) finish week of December 29 above___?,2026-01-02
139626,aapl-above-on-january-9-2026,Will Apple (AAPL) finish week of January 5 above___?,2026-01-09
154115,aapl-above-on-january-16-2026,Will Apple (AAPL) finish week of January 12 above___?,2026-01-16
168971,aapl-above-on-january-23-2026,Will Apple (AAPL) finish week of January 19 above___?,2026-01-23
184374,aapl-above-on-january-30-2026,Will Apple (AAPL) finish week of January 26 above___?,2026-01-30
193923,aapl-above-on-february-6-2026,Will Apple (AAPL) finish week of February 2 above___?,2026-02-06
72235,googl-above-on-november-14-2025,Will Google (GOOGL) finish week of November 10 above___?,2025-11-14
84761,googl-above-on-november-21-2025,Will Google (GOOGL) finish week of November 17 above___?,2025-11-21
87183,googl-above-on-november-28-2025,Will Google (GOOGL) finish week of November 24 above___?,2025-11-28
92872,googl-above-on-december-5-2025,Will Google (GOOGL) finish week of December 1 above___?,2025-12-05
98307,googl-above-on-december-12-2025,Will Google (GOOGL) finish week of December 8 above___?,2025-12-12
103688,googl-above-on-december-19-2025,Will Google (GOOGL) finish week of December 15 above___?,2025-12-19
112382,googl-above-on-december-26-2025,Will Google (GOOGL) finish week of December 22 above___?,2025-12-26
125809,googl-above-on-january-2-2026,Will Google (GOOGL) finish week of December 29 above___?,2026-01-02
139638,googl-above-on-january-9-2026,Will Google (GOOGL) finish week of January 5 above___?,2026-01-09
154130,googl-above-on-january-16-2026,Will Google (GOOGL) finish week of January 12 above___?,2026-01-16
168982,googl-above-on-january-23-2026,Will Google (GOOGL) finish week of January 19 above___?,2026-01-23
184394,googl-above-on-january-30-2026,Will Google (GOOGL) finish week of January 26 above___?,2026-01-30
193954,googl-above-on-february-6-2026,Will Google (GOOGL) finish week of February 2 above___?,2026-02-06
72233,msft-above-on-november-14-2025,Will Microsoft (MSFT) finish week of November 10 above___?,2025-11-14
84759,msft-above-on-november-21-2025,Will Microsoft (MSFT) finish week of November 17 above___?,2025-11-21
87174,msft-above-on-november-28-2025,Will Microsoft (MSFT) finish week of November 24 above___?,2025-11-28
92865,msft-above-on-december-5-2025,Will Microsoft (MSFT) finish week of December 1 above___?,2025-12-05
98300,msft-above-on-december-12-2025,Will Microsoft (MSFT) finish week of December 8 above___?,2025-12-12
103677,msft-above-on-december-19-2025,Will Microsoft (MSFT) finish week of December 15 above___?,2025-12-19
112374,msft-above-on-december-26-2025,Will Microsoft (MSFT) finish week of December 22 above___?,2025-12-26
125800,msft-above-on-january-2-2026,Will Microsoft (MSFT) finish week of December 29 above___?,2026-01-02
139633,msft-above-on-january-9-2026,Will Microsoft (MSFT) finish week of January 5 above___?,2026-01-09
154123,msft-above-on-january-16-2026,Will Microsoft (MSFT) finish week of January 12 above___?,2026-01-16
168976,msft-above-on-january-23-2026,Will Microsoft (MSFT) finish week of January 19 above___?,2026-01-23
184391,msft-above-on-january-30-2026,Will Microsoft (MSFT) finish week of January 26 above___?,2026-01-30
193935,msft-above-on-february-6-2026,Will Microsoft (MSFT) finish week of February 2 above___?,2026-02-06
72236,meta-above-on-november-14-2025,Will Meta (META) finish week of November 10 above___?,2025-11-14
84762,meta-above-on-november-21-2025,Will Meta (META) finish week of November 17 above___?,2025-11-21
87184,meta-above-on-november-28-2025,Will Meta (META) finish week of November 24 above___?,2025-11-28
92876,meta-above-on-december-5-2025,Will Meta (META) finish week of December 1 above___?,2025-12-05
98311,meta-above-on-december-12-2025,Will Meta (META) finish week of December 8 above___?,2025-12-12
103691,meta-above-on-december-19-2025,Will Meta (META) finish week of December 15 above___?,2025-12-19
112384,meta-above-on-december-26-2025,Will Meta (META) finish week of December 22 above___?,2025-12-26
125812,meta-above-on-january-2-2026,Will Meta (META) finish week of December 29 above___?,2026-01-02
139640,meta-above-on-january-9-2026,Will Meta (META) finish week of January 5 above___?,2026-01-09
154133,meta-above-on-january-16-2026,Will Meta (META) finish week of January 12 above___?,2026-01-16
168985,meta-above-on-january-23-2026,Will Meta (META) finish week of January 19 above___?,2026-01-23
184395,meta-above-on-january-30-2026,Will Meta (META) finish week of January 26 above___?,2026-01-30
193962,meta-above-on-february-6-2026,Will Meta (META) finish week of February 2 above___?,2026-02-06
72234,amzn-above-on-november-14-2025,Will Amazon (AMZN) finish week of November 10 above___?,2025-11-14
84760,amzn-above-on-november-21-2025,Will Amazon (AMZN) finish week of November 17 above___?,2025-11-21
87181,amzn-above-on-november-28-2025,Will Amazon (AMZN) finish week of November 24 above___?,2025-11-28
92869,amzn-above-on-december-5-2025,Will Amazon (AMZN) finish week of December 1 above___?,2025-12-05
98304,amzn-above-on-december-12-2025,Will Amazon (AMZN) finish week of December 8 above___?,2025-12-12
103683,amzn-above-on-december-19-2025,Will Amazon (AMZN) finish week of December 15 above___?,2025-12-19
112378,amzn-above-on-december-26-2025,Will Amazon (AMZN) finish week of December 22 above___?,2025-12-26
125805,amzn-above-on-january-2-2026,Will Amazon (AMZN) finish week of December 29 above___?,2026-01-02
139636,amzn-above-on-january-9-2026,Will Amazon (AMZN) finish week of January 5 above___?,2026-01-09
154128,amzn-above-on-january-16-2026,Will Amazon (AMZN) finish week of January 12 above___?,2026-01-16
168980,amzn-above-on-january-23-2026,Will Amazon (AMZN) finish week of January 19 above___?,2026-01-23
184393,amzn-above-on-january-30-2026,Will Amazon (AMZN) finish week of January 26 above___?,2026-01-30
193944,amzn-above-on-february-6-2026,Will Amazon (AMZN) finish week of February 2 above___?,2026-02-06
72240,pltr-above-on-november-14-2025,Will Palantir (PLTR) finish week of November 10 above___?,2025-11-14
84766,pltr-above-on-november-21-2025,Will Palantir (PLTR) finish week of November 17 above___?,2025-11-21
87188,pltr-above-on-november-28-2025,Will Palantir (PLTR) finish week of November 24 above___?,2025-11-28
92895,pltr-above-on-december-5-2025,Will Palantir (PLTR) finish week of December 1 above___?,2025-12-05
98324,pltr-above-on-december-12-2025,Will Palantir (PLTR) finish week of December 8 above___?,2025-12-12
103705,pltr-above-on-december-19-2025,Will Palantir (PLTR) finish week of December 15 above___?,2025-12-19
112392,pltr-above-on-december-26-2025,Will Palantir (PLTR) finish week of December 22 above___?,2025-12-26
125826,pltr-above-on-january-2-2026,Will Palantir (PLTR) finish week of December 29 above___?,2026-01-02
139649,pltr-above-on-january-9-2026,Will Palantir (PLTR) finish week of January 5 above___?,2026-01-09
154141,pltr-above-on-january-16-2026,Will Palantir (PLTR) finish week of January 12 above___?,2026-01-16
168992,pltr-above-on-january-23-2026,Will Palantir (PLTR) finish week of January 19 above___?,2026-01-23
184399,pltr-above-on-january-30-2026,Will Palantir (PLTR) finish week of January 26 above___?,2026-01-30
193990,pltr-above-on-february-6-2026,Will Palantir (PLTR) finish week of February 2 above___?,2026-02-06
72238,nvda-above-on-november-14-2025,Will NVIDIA (NVDA) finish week of November 10 above___?,2025-11-14
84764,nvda-above-on-november-21-2025,Will NVIDIA (NVDA) finish week of November 17 above___?,2025-11-21
87186,nvda-above-on-november-28-2025,Will NVIDIA (NVDA) finish week of November 24 above___?,2025-11-28
92886,nvda-above-on-december-5-2025,Will NVIDIA (NVDA) finish week of December 1 above___?,2025-12-05
98317,nvda-above-on-december-12-2025,Will NVIDIA (NVDA) finish week of December 8 above___?,2025-12-12
103698,nvda-above-on-december-19-2025,Will NVIDIA (NVDA) finish week of December 15 above___?,2025-12-19
112388,nvda-above-on-december-26-2025,Will NVIDIA (NVDA) finish week of December 22 above___?,2025-12-26
125818,nvda-above-on-january-2-2026,Will NVIDIA (NVDA) finish week of December 29 above___?,2026-01-02
139644,nvda-above-on-january-9-2026,Will NVIDIA (NVDA) finish week of January 5 above___?,2026-01-09
154137,nvda-above-on-january-16-2026,Will NVIDIA (NVDA) finish week of January 12 above___?,2026-01-16
168990,nvda-above-on-january-23-2026,Will NVIDIA (NVDA) finish week of January 19 above___?,2026-01-23
184397,nvda-above-on-january-30-2026,Will NVIDIA (NVDA) finish week of January 26 above___?,2026-01-30
193976,nvda-above-on-february-6-2026,Will NVIDIA (NVDA) finish week of February 2 above___?,2026-02-06
72237,tsla-above-on-november-14-2025,Will Tesla (TSLA) finish week of November 10 above___?,2025-11-14
84763,tsla-above-on-november-21-2025,Will Tesla (TSLA) finish week of November 17 above___?,2025-11-21
87185,tsla-above-on-november-28-2025,Will Tesla (TSLA) finish week of November 24 above___?,2025-11-28
92881,tsla-above-on-december-5-2025,Will Tesla (TSLA) finish week of December 1 above___?,2025-12-05
98314,tsla-above-on-december-12-2025,Will Tesla (TSLA) finish week of December 8 above___?,2025-12-12
103694,tsla-above-on-december-19-2025,Will Tesla (TSLA) finish week of December 15 above___?,2025-12-19
112386,tsla-above-on-december-26-2025,Will Tesla (TSLA) finish week of December 22 above___?,2025-12-26
125815,tsla-above-on-january-2-2026,Will Tesla (TSLA) finish week of December 29 above___?,2026-01-02
139643,tsla-above-on-january-9-2026,Will Tesla (TSLA) finish week of January 5 above___?,2026-01-09
154135,tsla-above-on-january-16-2026,Will Tesla (TSLA) finish week of January 12 above___?,2026-01-16
168987,tsla-above-on-january-23-2026,Will Tesla (TSLA) finish week of January 19 above___?,2026-01-23
184396,tsla-above-on-january-30-2026,Will Tesla (TSLA) finish week of January 26 above___?,2026-01-30
193969,tsla-above-on-february-6-2026,Will Tesla (TSLA) finish week of February 2 above___?,2026-02-06
72239,nflx-above-on-november-14-2025,Will Netflix (NFLX) finish week of November 10 above___?,2025-11-14
84765,nflx-above-on-november-21-2025,Will Netflix (NFLX) finish week of November 17 above___?,2025-11-21
87187,nflx-above-on-november-28-2025,Will Netflix (NFLX) finish week of November 24 above___?,2025-11-28
92890,nflx-above-on-december-5-2025,Will Netflix (NFLX) finish week of December 1 above___?,2025-12-05
98320,nflx-above-on-december-12-2025,Will Netflix (NFLX) finish week of December 8 above___?,2025-12-12
103701,nflx-above-on-december-19-2025,Will Netflix (NFLX) finish week of December 15 above___?,2025-12-19
112390,nflx-above-on-december-26-2025,Will Netflix (NFLX) finish week of December 22 above___?,2025-12-26
125822,nflx-above-on-january-2-2026,Will Netflix (NFLX) finish week of December 29 above___?,2026-01-02
139647,nflx-above-on-january-9-2026,Will Netflix (NFLX) finish week of January 5 above___?,2026-01-09
154140,nflx-above-on-january-16-2026,Will Netflix (NFLX) finish week of January 12 above___?,2026-01-16
168991,nflx-above-on-january-23-2026,Will Netflix (NFLX) finish week of January 19 above___?,2026-01-23
184398,nflx-above-on-january-30-2026,Will Netflix (NFLX) finish week of January 26 above___?,2026-01-30
193983,nflx-above-on-february-6-2026,Will Netflix (NFLX) finish week of February 2 above___?,2026-02-06
72241,open-above-on-november-14-2025,Will Opendoor (OPEN) finish week of November 10 above___?,2025-11-14
84767,open-above-on-november-21-2025,Will Opendoor (OPEN) finish week of November 17 above___?,2025-11-21
87189,open-above-on-november-28-2025,Will Opendoor (OPEN) finish week of November 24 above___?,2025-11-28
92898,open-above-on-december-5-2025,Will Opendoor (OPEN) finish week of December 1 above___?,2025-12-05
98326,open-above-on-december-12-2025,Will Opendoor (OPEN) finish week of December 8 above___?,2025-12-12
103707,open-above-on-december-19-2025,Will Opendoor (OPEN) finish week of December 15 above___?,2025-12-19
112394,open-above-on-december-26-2025,Will Opendoor (OPEN) finish week of December 22 above___?,2025-12-26
125828,open-above-on-january-2-2026,Will Opendoor (OPEN) finish week of December 29 above___?,2026-01-02
139650,open-above-on-january-9-2026,Will Opendoor (OPEN) finish week of January 5 above___?,2026-01-09
154142,open-above-on-january-16-2026,Will Opendoor (OPEN) finish week of January 12 above___?,2026-01-16
168993,open-above-on-january-23-2026,Will Opendoor (OPEN) finish week of January 19 above___?,2026-01-23
184400,open-above-on-january-30-2026,Will Opendoor (OPEN) finish week of January 26 above___?,2026-01-30
193995,open-above-on-february-6-2026,Will Opendoor (OPEN) finish week of February 2 above___?,2026-02-06
200784,aapl-above-on-february-13-2026,Will Apple (AAPL) finish week of February 9 above___?,2026-02-13
200810,googl-above-on-february-13-2026,Will Google (GOOGL) finish week of February 9 above___?,2026-02-13
200797,msft-above-on-february-13-2026,Will Microsoft (MSFT) finish week of February 9 above___?,2026-02-13
200812,meta-above-on-february-13-2026,Will Meta (META) finish week of February 9 above___?,2026-02-13
200805,amzn-above-on-february-13-2026,Will Amazon (AMZN) finish week of February 9 above___?,2026-02-13
200821,pltr-above-on-february-13-2026,Will Palantir (PLTR) finish week of February 9 above___?,2026-02-13
200817,nvda-above-on-february-13-2026,Will NVIDIA (NVDA) finish week of February 9 above___?,2026-02-13
200815,tsla-above-on-february-13-2026,Will Tesla (TSLA) finish week of February 9 above___?,2026-02-13
200819,nflx-above-on-february-13-2026,Will Netflix (NFLX) finish week of February 9 above___?,2026-02-13
200822,open-above-on-february-13-2026,Will Opendoor (OPEN) finish week of February 9 above___?,2026-02-13
208279,aapl-above-on-february-20-2026,Will Apple (AAPL) finish week of February 16 above___?,2026-02-20
208299,googl-above-on-february-20-2026,Will Google (GOOGL) finish week of February 16 above___?,2026-02-20
208288,msft-above-on-february-20-2026,Will Microsoft (MSFT) finish week of February 16 above___?,2026-02-20
208304,meta-above-on-february-20-2026,Will Meta (META) finish week of February 16 above___?,2026-02-20
208295,amzn-above-on-february-20-2026,Will Amazon (AMZN) finish week of February 16 above___?,2026-02-20
208316,pltr-above-on-february-20-2026,Will Palantir (PLTR) finish week of February 16 above___?,2026-02-20
208311,nvda-above-on-february-20-2026,Will NVIDIA (NVDA) finish week of February 16 above___?,2026-02-20
208309,tsla-above-on-february-20-2026,Will Tesla (TSLA) finish week of February 16 above___?,2026-02-20
208314,nflx-above-on-february-20-2026,Will Netflix (NFLX) finish week of February 16 above___?,2026-02-20
208317,open-above-on-february-20-2026,Will Opendoor (OPEN) finish week of February 16 above___?,2026-02-20
208279,aapl-above-on-february-20-2026,Will Apple (AAPL) finish week of February 16 above___?,2026-02-20
208299,googl-above-on-february-20-2026,Will Google (GOOGL) finish week of February 16 above___?,2026-02-20
208288,msft-above-on-february-20-2026,Will Microsoft (MSFT) finish week of February 16 above___?,2026-02-20
208304,meta-above-on-february-20-2026,Will Meta (META) finish week of February 16 above___?,2026-02-20
208295,amzn-above-on-february-20-2026,Will Amazon (AMZN) finish week of February 16 above___?,2026-02-20
208316,pltr-above-on-february-20-2026,Will Palantir (PLTR) finish week of February 16 above___?,2026-02-20
208311,nvda-above-on-february-20-2026,Will NVIDIA (NVDA) finish week of February 16 above___?,2026-02-20
208309,tsla-above-on-february-20-2026,Will Tesla (TSLA) finish week of February 16 above___?,2026-02-20
208314,nflx-above-on-february-20-2026,Will Netflix (NFLX) finish week of February 16 above___?,2026-02-20
208317,open-above-on-february-20-2026,Will Opendoor (OPEN) finish week of February 16 above___?,2026-02-20
219927,aapl-above-on-february-27-2026,Will Apple (AAPL) finish week of February 23 above___?,2026-02-27
219961,googl-above-on-february-27-2026,Will Google (GOOGL) finish week of February 23 above___?,2026-02-27
219956,msft-above-on-february-27-2026,Will Microsoft (MSFT) finish week of February 23 above___?,2026-02-27
219962,meta-above-on-february-27-2026,Will Meta (META) finish week of February 23 above___?,2026-02-27
219960,amzn-above-on-february-27-2026,Will Amazon (AMZN) finish week of February 23 above___?,2026-02-27
219966,pltr-above-on-february-27-2026,Will Palantir (PLTR) finish week of February 23 above___?,2026-02-27
219964,nvda-above-on-february-27-2026,Will NVIDIA (NVDA) finish week of February 23 above___?,2026-02-27
219963,tsla-above-on-february-27-2026,Will Tesla (TSLA) finish week of February 23 above___?,2026-02-27
219965,nflx-above-on-february-27-2026,Will Netflix (NFLX) finish week of February 23 above___?,2026-02-27
219971,open-above-on-february-27-2026,Will Opendoor (OPEN) finish week of February 23 above___?,2026-02-27
219927,aapl-above-on-february-27-2026,Will Apple (AAPL) finish week of February 23 above___?,2026-02-27
219961,googl-above-on-february-27-2026,Will Google (GOOGL) finish week of February 23 above___?,2026-02-27
219956,msft-above-on-february-27-2026,Will Microsoft (MSFT) finish week of February 23 above___?,2026-02-27
219962,meta-above-on-february-27-2026,Will Meta (META) finish week of February 23 above___?,2026-02-27
219960,amzn-above-on-february-27-2026,Will Amazon (AMZN) finish week of February 23 above___?,2026-02-27
219966,pltr-above-on-february-27-2026,Will Palantir (PLTR) finish week of February 23 above___?,2026-02-27
219964,nvda-above-on-february-27-2026,Will NVIDIA (NVDA) finish week of February 23 above___?,2026-02-27
219963,tsla-above-on-february-27-2026,Will Tesla (TSLA) finish week of February 23 above___?,2026-02-27
219965,nflx-above-on-february-27-2026,Will Netflix (NFLX) finish week of February 23 above___?,2026-02-27
219971,open-above-on-february-27-2026,Will Opendoor (OPEN) finish week of February 23 above___?,2026-02-27
